no,customer_id,name,contact,join_date,tag_row,tag_customer_id,tag_name,tag_contact,tag_join_date
0,0,Kelly Gentry,745437473,2013/11/,,,type1,imprecise,imprecise
1,1,James Perez,(02)63015247,02/11/11,,nonunique,type1,imprecise,type4
2,1,James Webb,+61(07)84638417,2016/02/,,nonunique,type1,type 1.2.2,imprecise
3,3,Audrey Lewis,610317081177,2018/07/,,,type1,type 1.1.1,imprecise
4,4,Rebecca Brown,+61(07)31094108,2018-10-26,,,type1,type 1.2.2,type1
5,5,Claire Terrell,61-(07)-2697-2346,16-05-13,,nonunique,type1,type 2.2.1,type2
6,5,Lindsay Munoz,610469565664,03/16/10,,nonunique,type1,type 1.1.1,type4
7,7,"Nichols, Robert",61(03)6332598,15-11-10 Tue,Duplicated,,type2,imprecise,type3
8,7,"Nichols, Robert",61(03)6332598,15-11-10 Tue,Duplicated,,type2,imprecise,type3
9,8,Cathy Sharp,-(02)-7527-2609,2013-05-27,,nonunique,type1,imprecise,type1
10,8,Jason Cherry,+61(03)23609941,18-02-13 Tue,,nonunique,type1,type 1.2.2,type3
11,8,Mark Mckinney,610782746488,N/A,,nonunique,type1,type 1.1.1,missing
12,10,Jerry Hansen,(04)58005771,17-08-02,,,type1,imprecise,type2
13,11,Bailey Herrera,+61-07-8605-5362,04/07/12,,,type1,type 2.1.2,type4
14,13,Cassandra Price,-04-5107-6421,18-10-21 Sun,Duplicated,nonunique,type1,imprecise,type3
15,13,Patricia Martin,+61-(07)-3781-4030,13-08-31 Sat,,nonunique,type1,type 2.2.2,type3
16,13,Cassandra Price,-04-5107-6421,18-10-21 Sun,Duplicated,nonunique,type1,imprecise,type3
17,15,Tiffany Romero,61(08)46778474,10-07-05,,nonunique,type1,type 1.2.1,type2
18,15,Nathan Rodriguez,+61-07-1139-1952,2010-03-19,,nonunique,type1,type 2.1.2,type1
19,17,John Moody,61-03-4762-5155,2017/05/,,,type1,type 2.1.1,imprecise
20,18,Jeremy Carter,610331484856,2013-06-18,,,type1,type 1.1.1,type1
21,19,"Carter, April",492407852,2013/05/,,,type2,imprecise,imprecise
22,20,Stephanie Brown,+61(03)15115063,12-05-15 Tue,Duplicated,,type1,type 1.2.2,type3
23,20,Stephanie Brown,+61(03)15115063,12-05-15 Tue,Duplicated,,type1,type 1.2.2,type3
24,21,Rachel Patel,+61-(04)-6329-9203,17-04-02 Sun,,,type1,type 2.2.2,type3
25,22,John Anderson,(03)43552624,14-05-19 Mon,,,type1,imprecise,type3
26,23,Benjamin Beasley,+61(08)49095975,2012/09/,Duplicated,,type1,type 1.2.2,imprecise
27,23,Benjamin Beasley,+61(08)49095975,2012/09/,Duplicated,,type1,type 1.2.2,imprecise
28,24,Lydia Clark,718946029,10-07-04,,,type1,imprecise,type2
29,25,Crystal Schwartz,(02)36354135,2012/09/,Duplicated,,type1,imprecise,imprecise
